,loc,scale,expectation,cv
6724,-2.0510154,0.50694686,0.14623831,0.5690315
12810,-2.022778,0.53537506,0.15267178,0.5326507
13789,-2.0327902,0.49356535,0.14793433,0.60726696
15836,-2.0072992,0.468913,0.14996408,0.68202883
19024,-2.0190036,0.49945998,0.1504276,0.6030122
21184,-2.0394518,0.51290214,0.1483891,0.5640699
24223,-2.046775,0.5163976,0.14757158,0.55339384
24794,-2.021641,0.45657718,0.14698721,0.7051007
25535,-2.0949154,0.50488853,0.13981164,0.54846925
27253,-2.0833726,0.50163645,0.14120352,0.561135
28326,-2.0145094,0.52735883,0.1532851,0.55117244
31790,-2.0689971,0.49634656,0.14287043,0.5799256
32182,-2.0276682,0.4783926,0.1476016,0.64494425
32381,-1.9841022,0.41896337,0.1501175,0.85522264
32385,-2.052683,0.43659103,0.14122836,0.74092174
43013,-2.0234766,0.50569886,0.15022653,0.5874389
43438,-2.0066803,0.52574766,0.1543589,0.55844057
44051,-2.0406106,0.501846,0.14738813,0.58522326
44607,-1.9738723,0.5068159,0.15795563,0.61494267
45860,-2.0768187,0.5352624,0.14463158,0.50481194
47295,-2.0709226,0.4830413,0.14166953,0.6071667
50479,-2.057951,0.52271336,0.14641118,0.5358547
51785,-2.0864737,0.4924858,0.1401275,0.57774466
55384,-1.9810246,0.50559783,0.15673323,0.61312735
57759,-2.0661383,0.48292595,0.14234102,0.610336
57871,-2.1021914,0.5102441,0.13917586,0.5345742
58254,-1.9990257,0.51648426,0.15479593,0.5802903
62736,-2.1075091,0.47221103,0.13587533,0.6093522
65038,-2.0658762,0.47410506,0.14177862,0.63075626
65760,-2.0950005,0.45829037,0.13669741,0.6508469
67275,-2.0051663,0.4677851,0.15020491,0.6864223
68790,-2.1006503,0.48818082,0.13786367,0.57848006
69036,-2.012666,0.5121824,0.15236129,0.58079827
69289,-2.0578477,0.46785188,0.14250118,0.651031
69938,-2.0906293,0.53486055,0.14261717,0.4985293
70415,-2.0524137,0.47065544,0.14346626,0.64765483
71875,-2.0397768,0.5345124,0.15002923,0.5251221
74457,-2.0364556,0.5160561,0.14907606,0.5597757
76517,-2.0347824,0.51505977,0.14924902,0.5625955
77951,-2.0243685,0.5165646,0.15092851,0.56561637
78502,-2.0474796,0.44966885,0.14279024,0.7061759
78573,-1.9667292,0.47994614,0.15699285,0.68154556
80730,-2.0184743,0.5039271,0.15084492,0.594012
85495,-2.11011,0.5065501,0.13781907,0.5371116
85794,-2.0897713,0.48449668,0.13912217,0.59267247
91501,-2.0912917,0.4654003,0.13765663,0.6355413
93038,-2.0157208,0.5075241,0.15153623,0.58830583
95357,-1.9988916,0.48477992,0.1523788,0.64838845
95392,-2.1073852,0.50064325,0.13778466,0.54972327
