,loc,scale,expectation,cv
!,-2.066868,0.53735554,0.14624198,0.27215123
!?,-1.9800897,0.5170976,0.1578051,0.3051747
#AI,-2.0448391,0.49343616,0.14615326,0.29619485
#DrLiMengYan1,-1.9867632,0.5019888,0.1555533,0.30987403
#illustration,-2.0645878,0.50055003,0.14380275,0.28728947
#アクリル絵具,-2.0615392,0.44496882,0.14050102,0.31575477
#アナログイラスト,-2.0267234,0.46466956,0.14678821,0.31589806
#イラスト,-2.0243876,0.49541533,0.14931914,0.30140194
#オリジナル,-2.034867,0.4718976,0.14609131,0.30958265
#グラビア,-2.0308228,0.50222754,0.14886634,0.29641214
#コンパス,-2.0903926,0.5028174,0.14029892,0.27902558
#コンパスエンジョイ部,-2.0046575,0.5151436,0.15382017,0.2985967
#コンパスコスチュームコンテスト2,-2.0168574,0.5349536,0.15354376,0.28702256
#スタイル抜群,-2.0507178,0.5667617,0.15105543,0.26652372
#セクシー,-1.9871162,0.4926205,0.15477563,0.3141884
#ビジョビジョ,-2.1229887,0.52569014,0.13740622,0.26138252
#フリー素材,-2.0540276,0.49960294,0.14526059,0.29075205
#モンスター,-2.1334026,0.5142816,0.1351784,0.262849
#創作,-2.1263561,0.472138,0.13333386,0.28240442
#女の子,-2.1681786,0.47061676,0.12778087,0.2715179
#少女,-2.0113652,0.52646554,0.15369545,0.2919383
#怪物,-2.0726178,0.50218976,0.14276998,0.28429487
#桃尻,-1.9793954,0.49914315,0.15648057,0.31349838
#癒し,-2.081074,0.4813489,0.14012426,0.29110748
#色白,-2.0342214,0.47454667,0.14636904,0.3084397
#谷間フェチ,-2.0107281,0.50624037,0.15219563,0.30063906
',-2.0282395,0.56059,0.15395287,0.2746265
('A`),-2.0385337,0.54229105,0.15084629,0.2781648
(*^◯^*),-2.029375,0.4463357,0.14518198,0.3252753
(*´ω｀*),-2.1986947,0.53999996,0.12836277,0.23770885
(43),-2.1578448,0.48420233,0.12994827,0.268376
([∩∩])<死にたいらしいな,-2.1025338,0.48741612,0.13755292,0.28220838
([∩∩])<殺してやるよ,-2.0258107,0.5089242,0.15012172,0.29497856
([∩∩])<遊びは終わりだ,-2.1366508,0.47293332,0.13201788,0.2791469
(_˘ω˘)ｽﾔｧ,-2.0975525,0.4702764,0.13710989,0.2915517
(˘ω˘)ｽﾔｧ,-1.9598831,0.48206854,0.1582328,0.32823712
(˘ω˘)ｽﾔｧ…,-2.066565,0.5168395,0.1447129,0.2799958
(≧Д≦),-2.0302172,0.52141863,0.15042682,0.2884953
(「・ω・)「がおー,-2.0445058,0.5090594,0.1473514,0.28945816
(物理),-2.0673018,0.5234841,0.14510699,0.27719462
(結婚しよ),-2.0879765,0.4912489,0.13983198,0.2846459
(首が折れる音),-2.0263345,0.44087347,0.14527166,0.32950872
+チック姉さん,-1.9836124,0.49182203,0.15525785,0.31567892
",",-2.0726445,0.47727433,0.14103474,0.29550037
.,-2.069458,0.44899338,0.13964379,0.31101525
.LIVE,-2.1117656,0.49125364,0.13654506,0.27795225
.Live,-2.0735717,0.4495133,0.139103,0.30945247
.live,-2.0646467,0.52825737,0.14585842,0.2761124
///,-2.0398133,0.49958158,0.14733854,0.29492387
0,-2.1288137,0.527482,0.13673712,0.25922614
007,-2.1316469,0.4827902,0.1333066,0.27611703
0083,-2.1057272,0.44474423,0.13441429,0.30222827
1,-1.9989873,0.47950372,0.1519771,0.31694666
1/144,-2.0238326,0.50060534,0.14978868,0.2992151
10,-2.0710342,0.54496986,0.14623532,0.26833653
100カノ,-2.006917,0.47121695,0.15018398,0.31871516
100日チャレンジ,-2.0419557,0.5165548,0.14829655,0.28708777
103系,-2.0855484,0.5413138,0.14384225,0.26572803
1052C-Re,-2.1045609,0.48801866,0.13731472,0.28137186
1052Mid,-2.0701535,0.5348963,0.14557026,0.2721467
10周年,-1.9630766,0.4914617,0.1584511,0.3224078
10月10日はテトの日,-1.9536979,0.48879886,0.15973553,0.32679194
10月4日は天子の日,-2.0301666,0.47517103,0.14700732,0.3093777
10月5日はてんこの日,-2.0600405,0.4348963,0.1400896,0.32212186
11月11日,-1.9907904,0.5125464,0.15576008,0.30389458
11月11日はポッキーの日,-2.07571,0.49000588,0.14147148,0.28871384
11点のお姉ちゃん,-2.1094966,0.532819,0.13979915,0.26237646
120億円事件,-2.0185826,0.49041244,0.14981854,0.305495
12月4日はチノの誕生祭,-2.075401,0.4872329,0.1413236,0.2900535
13,-2.0615385,0.4824734,0.14296603,0.29631898
13日の金曜日,-2.0954413,0.52676123,0.14132364,0.26828787
14,-2.060254,0.48455215,0.14329374,0.2957241
15,-2.1047454,0.4888765,0.13734694,0.28094405
16bitセンセーション,-2.0742643,0.49173957,0.14179677,0.28835744
16cm,-2.1021326,0.5142715,0.13947149,0.27120206
17才,-2.1118512,0.4945436,0.13675496,0.2765276
17歳,-2.0290148,0.469727,0.1467987,0.3125192
17歳教,-2.0570683,0.48129696,0.14352515,0.298205
18号,-2.014546,0.4656064,0.1486514,0.3192641
1925,-1.9654684,0.4781088,0.15705264,0.32848725
1983年クラシック世代,-2.068283,0.45694864,0.14031266,0.30706438
1990年クラシック世代,-1.9819845,0.524787,0.15813854,0.30133852
1993年クラシック世代,-2.0642917,0.48294166,0.14260519,0.2952845
1997年クラシック世代,-2.0978603,0.4396688,0.13517217,0.3074409
1998年クラシック世代,-2.075,0.4986975,0.14218156,0.28510582
1999年クラシック世代,-2.013837,0.50137335,0.15135162,0.30187407
1ya式モデル,-2.0708394,0.5108073,0.14364973,0.281221
1コメに無残に踏みにじられた静画,-2.0155077,0.4675166,0.14864092,0.3179372
1ドロ,-2.01729,0.50981385,0.15147494,0.29711813
1一,-1.9542738,0.5135954,0.16164,0.31472245
1二,-2.063575,0.49131143,0.14329045,0.29164892
1五,-2.04073,0.48561072,0.14619395,0.30105174
1枚謎,-2.099739,0.45718762,0.13598253,0.29743266
2,-2.0330706,0.44493487,0.14455618,0.3248929
2.5次元,-2.0762284,0.56323683,0.1469577,0.26091635
